"FC1"	"FC2"	"FC3"
"mmu-miR-200b-3p"	-3.59961455790705	-5.51073766124578	-1.91112310333873
"mmu-miR-200b-5p"	-3.57994442595453	-3.73864217197359	-0.158697746019058
"mmu-miR-200c-3p"	-1.92599941855622	-2.91350847437303	-0.987509055816803
"mmu-miR-203-3p"	-1.29661700635818	-5.33475213524495	-4.03813512888677
"mmu-miR-206-3p"	2.16839595485131	2.17376332894242	0.00536737409110903
"mmu-miR-20a-5p"	-2.4524965100086	-2.18406541953438	0.268431090474224
"mmu-miR-20b-5p"	-3.48452259960013	-3.4594316186373	0.0250909809628305
"mmu-miR-210-3p"	-1.20118042395022	-0.197033097511022	1.0041473264392
"mmu-miR-212-5p"	-0.920596220635966	-1.94614790965702	-1.02555168902106
"mmu-miR-214-3p"	-0.949400519379409	-0.506139440507979	0.443261078871429
"mmu-miR-214-5p"	-0.770119784403243	0.0516163461921706	0.821736130595413
"mmu-miR-217-5p"	-0.92283213947754	-1.0815298854966	-0.158697746019058
"mmu-miR-218-5p"	-1.14477218562463	-0.6669240211328	0.477848164491827
"mmu-miR-219a-1-3p"	-2.67611038877935	-2.73587553363767	-0.0597651448583138
"mmu-miR-219a-5p"	-1.52466199045334	-2.49957100949051	-0.97490901903717
"mmu-miR-21a-3p"	-1.76500313853007	-3.0492763407382	-1.28427320220813
"mmu-miR-21a-5p"	-1.38980037657469	-1.4161696167277	-0.0263692401530039
"mmu-miR-22-3p"	-0.50644784362147	-0.266543000258724	0.239904843362746
"mmu-miR-22-5p"	-1.85352349033946	-1.15462900458329	0.698894485756168
"mmu-miR-221-3p"	-1.81833952254142	-1.12548201514854	0.69285750739288
"mmu-miR-221-5p"	-2.63768692868772	-2.78993608985311	-0.152249161165395
"mmu-miR-222-3p"	-2.34323436907461	-3.23882694952116	-0.895592580446557
"mmu-miR-222-5p"	-1.71188719497419	-2.64303546630087	-0.93114827132668
"mmu-miR-224-5p"	-1.30744910510981	-1.68980079666701	-0.382351691557195
"mmu-miR-23a-3p"	-1.97516716440738	0.604313750133763	2.57948091454114
"mmu-miR-23b-3p"	-1.10188917332389	1.22851033912722	2.33039951245111
"mmu-miR-23b-5p"	0.238033776131177	0.367924903440725	0.129891127309548
"mmu-miR-24-1-5p"	-1.1258439329782	-0.00690286025468826	1.11894107272351
"mmu-miR-24-2-5p"	-1.44124009840959	-0.806566448091346	0.634673650318248
"mmu-miR-24-3p"	-0.969958060965878	0.108092723177887	1.07805078414377
"mmu-miR-25-3p"	-2.24363643880043	-1.68860597620256	0.555030462597863
"mmu-miR-25-5p"	-3.54702433529988	-4.26949035977098	-0.722466024471091
"mmu-miR-26a-2-3p"	-1.45027888347613	-1.54088143225704	-0.0906025487809065
"mmu-miR-26a-5p"	-1.85921801270412	-1.69805534625094	0.161162666453176
"mmu-miR-26b-3p"	-3.74642592341527	-3.56808868215676	0.178337241258512
"mmu-miR-26b-5p"	-1.95792959876696	-1.12205543480325	0.835874163963713
"mmu-miR-27a-3p"	-2.06109661166671	-2.32560678236987	-0.264510170703162
"mmu-miR-27a-5p"	-2.46587063521151	-2.31745723020937	0.14841340500214
"mmu-miR-27b-3p"	-0.512528824988522	-0.217369117807444	0.295159707181079
"mmu-miR-27b-5p"	-0.755406177359021	-0.359757663188367	0.395648514170653
"mmu-miR-28a-3p"	-2.053449770561	-2.17118421294465	-0.117734442383646
"mmu-miR-28a-5p"	-1.19902646555005	-1.78955369017696	-0.590527224626901
"mmu-miR-28c"	0.658080429925172	-0.109972842025132	-0.768053271950303
"mmu-miR-296-3p"	0.217908917834684	-1.32835513778593	-1.54626405562062
"mmu-miR-298-5p"	0.0225118202686299	0.13298184813854	0.11047002786991
"mmu-miR-29a-3p"	-1.48788192371192	-1.67205105346482	-0.184169129752901
"mmu-miR-29b-1-5p"	-3.1258439329782	-3.85282543857178	-0.726981505593584
"mmu-miR-29b-2-5p"	-0.733213459305099	-3.1926450779424	-2.4594316186373
"mmu-miR-29b-3p"	0.895113427832165	0.786681353792854	-0.108432074039311
"mmu-miR-29c-3p"	-2.44401989300445	-1.86531638275498	0.578703510249474
"mmu-miR-301a-3p"	-1.57550217147209	-0.662965012722429	0.912537158749661
"mmu-miR-301a-5p"	-1.26972130096104	-1.12628919749732	0.143432103463719
"mmu-miR-301b-5p"	-1.75207248655641	-0.830074998557688	0.921997487998727
"mmu-miR-3057-5p"	-1.58003906428108	-1.94949924246026	-0.369460178179184
"mmu-miR-3061-3p"	-2.44401989300445	-2.05259495094756	0.391424942056893
"mmu-miR-3061-5p"	-0.501397784082025	-1.91020332964935	-1.40880554556733
"mmu-miR-3064-5p"	-2.04744099491732	-2.81549426686762	-0.768053271950303
"mmu-miR-3066-5p"	-2.18817670599854	-0.756330919033137	1.4318457869654
"mmu-miR-3068-3p"	-3.75419339820931	-1.08728928395198	2.66690411425733
"mmu-miR-3068-5p"	-0.463193537433496	0.991779493195031	1.45497303062853
"mmu-miR-3074-5p"	-1.60486205815886	-1.53161307612822	0.0732489820306386
"mmu-miR-3079-5p"	-2.00933786457934	-1.10619940383193	0.903138460747411
"mmu-miR-3081-3p"	0.12869468826603	-1.03040734388175	-1.15910203214778
"mmu-miR-3082-3p"	-2.25986712675511	-1.92283213947754	0.337034987277571
"mmu-miR-3089-3p"	-1.16710998583526	-1.14201900487243	0.0250909809628305
"mmu-miR-3095-3p"	-0.0166375242323819	-1.49895998282393	-1.48232245859155
"mmu-miR-3098-3p"	-1.34433450793564	-2.76355980417792	-1.41922529624228
"mmu-miR-3099-3p"	-2.62299563271574	-4.61797755794912	-1.99498192523338
